state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,1993,533123587422,0,13029920,31918140,0,1542290504,0,5721277,0
AL,1993,67336321192944,0,90342100,1260978338105,17823325,23833348730,0,99336996,0
AR,1993,1809152873127,0,45092920,27032610,13521676,296071570163,0,40498654,0
AZ,1993,3727219585442,0,6697088325983,19365490,22048880,102849,0,68468986,0
CA,1993,31299513601682,14948113,40492526282924,796441693097462,31580692,28911543864828,462078,186990642,2983640
CO,1993,307013198966,0,191184272745,15108630,0,344480,0,34240183,0
CT,1993,35083174384501,0,4146854254,13839160,21801782,13956240,0,32884571,0
DC,1993,188452,0,0,0,0,0,0,188452,0
DE,1993,53746152504620,0,0,1029190103206,0,0,0,9017680,0
FL,1993,6313867434727092,0,2107760,2075480172413,25886864,30969592369622,0,151934156,0
GA,1993,642525661137913,0,4456651344444,6962140,27233352,1133943213037,0,101447571,0
HI,1993,14790747393981,152249,562430,63068,0,77705672,0,9943687,21944
IA,1993,2753164456925,0,7471820,4489890,3235009,292640,0,32049013,0
ID,1993,39299432,0,97154850,1567360,0,10240536397,0,10533433,0
IL,1993,61490315734092,0,1301940,2126611347139,78373458,251034248,0,143453091,0
IN,1993,99676953372274,0,4484000,9745982130459,0,324540,0,103635138,0
KS,1993,2679966595862,0,49850,19424540,7899543,0,0,36742567,58
KY,1993,8172224696727,0,31551130,236320,0,0,0,84997718,0
LA,1993,194117283487566,0,12319460,36355225700587,14398103,843692589696,0,78975535,0
MA,1993,993039411591852,0,882373678809,90501080,4338685,1858998105607,0,37079208,0
MD,1993,251269794164790,0,16582710,772304475788,12300816,303818175122,0,44977888,0
ME,1993,5491701863091,0,32457800,98784788,5739866,4891073712592,0,15614272,0
MI,1993,63959080761575,0,1761842773214,100202133371,28525000,4874041586167,0,106368549,0
MN,1993,28652362637904,0,11508080,5126930,11986053,526975573655,0,44040635,185
MO,1993,40983960635278,0,318448374307,4399740,8381333,22480,0,53552969,0
MS,1993,88802143600540,0,0,36046470,7903547,1952578,0,25941526,0
MT,1993,1408285822069,0,96140880,349200,0,118919,0,23872854,0
NC,1993,63572654407255,0,4987070246302,3947500,23758927,425051669999,0,95314444,0
ND,1993,2714071361118,0,14151100,707639393,0,0,0,28663410,0
NE,1993,1477621119035,0,10016630,1530650,6805133,57500,0,22760857,0
NH,1993,32632411304573,0,14106090,115030,9046805,1678711038158,0,16242760,0
NJ,1993,54657711475224,0,19005123234,1554503986860,24932240,9439770,0,48344882,0
NM,1993,2550702943290,0,2938270,28885660,0,118160,0,28744528,0
NV,1993,15627860326981,1540055,19721800,40331980,0,0,0,23502472,0
NY,1993,2450196615072965,0,294432961135702,2707526790980,26889261,1724963558035,0,124221031,0
OH,1993,123795912346002,0,1896130,371452128520,10010661,99045296087,0,135237292,0
OK,1993,3169217556319,0,435745661044,1676256789656,0,262544,0,53159673,0
OR,1993,352039233668,0,358640800,17780670,21276,95238639416,0,41909585,0
PA,1993,1081318185013320,0,2376466884047,38696691097975,59330534,1425981644906,0,181214132,0
RI,1993,72481,0,93850,45086320,0,747980,0,4665296,0
SC,1993,27239959202239,0,2950139239116,20771624411,46188884,621251530961,0,78174835,0
SD,1993,264158212287,0,25911150,105270,0,0,0,5255511,0
TN,1993,61094822239106,0,8954227560158,2927272681,3304836,61659426063,0,73884199,0
TX,1993,1310460021854468,0,17864050,1472941143281370,12406774,3682321249854,366,299688715,0
UT,1993,3212579336586,148148,8600190,606099281457,0,0,0,34058102,0
VA,1993,294100012500809,0,1313303774085,43780660,22688763,4315331295112,8,61243510,0
VT,1993,5029,0,9812860,205580,3372148,264744,0,4643765,0
WA,1993,883507959434,0,673123830,3197945222852,7134966,2149901018120,0,87995776,0
WI,1993,34550945335556,0,24865870,4116760,11464574,170587818627,0,50238552,0
WV,1993,72968665236934,0,11141010,158242271186,0,0,0,74749164,0
WY,1993,3950709266381,0,7874270,3655402071,0,0,0,40771354,0
