state,year,coal,geothermal,hydroelectric,natural_gas,nuclear,biomass,solar,total,wind
AK,1992,495795521950,0,9181200,32143300,0,16295131934,0,5298424,0
AL,1992,61160671194866,0,102600230,1396063328720,19397436,287902467853,0,95234422,0
AR,1992,2009360052668,0,33772552692,34266320,11325661,149831452610,0,39746101,0
AZ,1992,34817088101915,0,6620757290465,29753650,25608706,138431,0,70552727,0
CA,1992,32995101948539,14771487,201674104495,887047872714688,35244336,27833564252371,399260,177155459,2863999
CO,1992,3024774840888,0,1499162132331,13471880,0,281730,0,33295490,0
CT,1992,37179965483841,0,4237133301,14718252819,16770708,13371770,0,29211380,0
DC,1992,73991,0,0,0,0,0,0,73991,0
DE,1992,40038812181233,0,0,627975164881,0,0,0,6984285,0
FL,1992,6270965328617786,0,2356040,1991961615178,25115956,29207682290724,0,143777143,0
GA,1992,59227954813405,0,4915318483079,7292900,27996298,870643105821,0,97358229,0
HI,1992,5566288334203,2134,611230,62401,0,805042254,0,9844461,22676
IA,1992,2576301340085,0,9996650,2690110,3405144,200090,0,30496927,0
ID,1992,443712313,0,66539770,1375490,0,8619544143,0,7463004,0
IL,1992,51416591437893,0,1393080,1703597404078,73742321,20239446,0,128046228,0
IN,1992,96616880488064,0,5624760,11842572133416,0,334710,0,101018564,0
KS,1992,2215273652826,0,97680,13723920,8490658,0,0,32078493,113
KY,1992,7347630983886,0,37672320,238320,0,0,0,77351259,0
LA,1992,198400011065464,0,6564920,369777981162816,10355520,802512533780,0,73374124,0
MA,1992,1106469713726316,0,1010856648685,84793970,4741968,168189031216,0,40087655,0
MD,1992,238504702749511,0,18246590,1077542506572,10663950,329854174801,0,41177359,0
ME,1992,5598442187082,0,35126060,246870,5357999,4092473632079,0,15683544,0
MI,1992,63346702628767,0,1782271770902,9528639243754,18848731,3305021352285,0,95321939,0
MN,1992,25701266648658,0,10625060,6458880,11166355,525005509061,0,40258884,145
MO,1992,4709923581078,0,148126531744,2377790,8083975,850,0,56951673,0
MS,1992,7836090413903,0,0,47351820,8173763,1976025,0,23134963,0
MT,1992,1745383316956,0,82708380,345690,0,123399,0,25899645,50
NC,1992,58274019335046,0,5768453109885,3613080,22753813,305061677076,0,89535255,0
ND,1992,2696082755282,0,16988540,1341138523,0,0,0,28766897,0
NE,1992,124401759482,0,10754460,1454920,8748468,64350,0,22425498,0
NH,1992,31870871413274,0,13936310,570010,7868653,1640991033508,0,15117253,0
NJ,1992,54090831308375,0,22380138298,1451503148157,21595097,9041890,0,43664014,0
NM,1992,2534841337159,0,2550460,24146920,0,141280,0,28069438,0
NV,1992,16443169327585,1177972,19856910,33921970,0,0,0,23347543,0
NY,1992,2727970318319258,0,280566471031645,2684969791985,24154932,1738485489862,0,125948924,0
OH,1992,121249946258124,0,2531650,34023673545,14805499,349113332100,0,137661728,0
OK,1992,3000384651626,0,324170131864,1641944472380,0,1832247483,0,50006448,0
OR,1992,370208110655,0,317185350,15279110,4572587,93795719271,0,42345374,539
PA,1992,1091246972648000,0,2577615918889,27078341011223,60132729,1252363626343,0,179405645,0
RI,1992,98919,0,99460,46125060,0,638340,0,4785205,0
SC,1992,23677865158187,0,3310446535497,27117917359,45536530,638121664601,0,74170509,0
SD,1992,26262907472,0,36120100,6420,0,0,0,6246414,0
TN,1992,51527665129598,0,10011047421383,2755113454,15653580,54764434339,0,77748112,0
TX,1992,1213951621628161,0,26381640,1346393873527112,24496392,3406521301936,369,290292313,0
UT,1992,3155299033635,186369,6023840,631435230326,0,0,0,33237139,0
VA,1992,262250341852865,0,1089975664933,24756900,23334340,7599141278974,11,56352354,0
VT,1992,2688,0,9214980,631200,3734594,148242,0,4870142,0
WA,1992,965814825745,0,683246590,1273763234023,5692379,1728101100901,0,86482429,0
WI,1992,33833943155249,0,24016050,3795910,11207185,162325753503,0,48893401,0
WV,1992,73352552241211,0,12710630,120856174182,0,0,0,75159914,0
WY,1992,4138078458483,0,6356400,3412578642,0,3692,0,42473894,0
